City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Tuktoyaktuk,CA,2022-07-14 08:49:48,69.4541,-133.0374,35.51,97,100,20.31
91,Mormugao,IN,2022-07-14 08:45:13,15.4,73.8,80.69,80,100,25.3
92,Barrow,US,2022-07-14 08:49:49,71.2906,-156.7887,35.62,93,100,10.36
93,Norman Wells,CA,2022-07-14 08:49:49,65.282,-126.8329,53.64,87,100,12.66
94,Svetlogorsk,BY,2022-07-14 08:49:50,52.6333,29.7333,67.87,69,51,11.54
95,Kharp,RU,2022-07-14 08:49:50,66.8014,65.8081,74.89,43,56,2.13
96,Effium,NG,2022-07-14 08:49:51,6.6292,8.0593,77.7,85,97,7.85
97,Chifeng,CN,2022-07-14 08:48:42,42.2683,118.9636,87.35,26,1,13.4
98,Cabo San Lucas,MX,2022-07-14 08:49:51,22.8909,-109.9124,83.61,73,39,7.87
99,Shambu,ET,2022-07-14 08:49:51,9.5667,37.1,57.27,89,99,4.16
100,Chokurdakh,RU,2022-07-14 08:49:52,70.6333,147.9167,56.64,41,100,11.12
101,Teguldet,RU,2022-07-14 08:49:52,57.3064,88.1667,64.51,42,88,5.95
102,Ribeira Grande,PT,2022-07-14 08:45:38,38.5167,-28.7,72.0,78,20,4.61
103,Vanimo,PG,2022-07-14 08:49:53,-2.6741,141.3028,79.63,80,100,2.51
104,Lorengau,PG,2022-07-14 08:49:53,-2.0226,147.2712,82.31,73,100,4.61
105,Lavrentiya,RU,2022-07-14 08:49:54,65.5833,-171.0,49.69,72,40,6.6
106,Cape Town,ZA,2022-07-14 08:47:53,-33.9258,18.4232,60.12,96,75,4.61
107,Ancud,CL,2022-07-14 08:49:54,-41.8697,-73.8203,40.23,91,91,7.38
108,Moa,CU,2022-07-14 08:49:55,20.6569,-74.9403,78.33,83,14,10.33
109,Coquimbo,CL,2022-07-14 08:48:14,-29.9533,-71.3436,53.33,93,100,2.3
110,Sao Filipe,CV,2022-07-14 08:49:55,14.8961,-24.4956,73.87,78,42,13.04
111,Shahganj,IN,2022-07-14 08:49:56,26.05,82.6833,107.13,26,99,19.48
112,Honiara,SB,2022-07-14 08:49:38,-9.4333,159.95,77.94,78,39,2.66
113,Saint-Philippe,RE,2022-07-14 08:49:56,-21.3585,55.7679,76.59,78,58,12.53
114,Bengkulu,ID,2022-07-14 08:45:35,-3.8004,102.2655,82.27,82,73,6.02
