City_ID,City,Country,Max Temp,weather description,Lat,Lng,Hotel Name
55,Sydney,AU,56.23,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
56,Tuktoyaktuk,CA,73.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
58,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Huilong,CN,83.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
61,Hermanus,ZA,53.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
62,Simdega,IN,75.06,overcast clouds,22.6167,84.5167,Circuit House
64,Cascais,PT,69.66,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
67,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
70,Linping,CN,87.94,broken clouds,30.4225,120.2972,Super 8 Hangzhou Linping Subway Station
71,Khasan,RU,65.44,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
73,Skjervoy,NO,51.8,light rain,70.0311,20.9714,Skjervøy fiskecamp AS
75,Shaikhpura,IN,83.66,overcast clouds,25.15,85.85,Hotel Ashoka
76,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
77,Zhenjiang,CN,83.14,overcast clouds,32.2092,119.4342,JI Hotel Zhenjiang Railway Station
78,Manzanillo,CU,76.87,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
79,Faya,SA,70.18,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
81,Berlevag,NO,53.55,overcast clouds,70.8578,29.0864,Kvitbrakka
82,Namibe,AO,62.65,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
85,Kenora,CA,77.97,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
86,Tocopilla,CL,62.17,overcast clouds,-22.092,-70.1979,Hotel Galvarino
88,Van,TR,65.89,clear sky,38.4924,43.3831,Elite World Van Hotel
90,Cape Town,ZA,55.89,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
91,Russell,US,76.37,thunderstorm with light rain,32.3502,-85.1999,Macs
92,Bredasdorp,ZA,55.13,light rain,-34.5322,20.0403,Bredasdorp Country Manor
93,Arraial Do Cabo,BR,71.62,clear sky,-22.9661,-42.0278,Pousada Porto Praia
97,Narsaq,GL,50.34,scattered clouds,60.9167,-46.05,Sleep In Narsaq
99,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
100,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
101,Bethel,US,87.55,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
