City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
106,Bluff,NZ,2022-07-22 23:01:18,-46.6,168.3333,37.8,81,8,6.33,clear sky
107,Oyama,JP,2022-07-22 23:01:19,36.3,139.8,84.58,81,74,3.87,broken clouds
108,Emba,KZ,2022-07-22 23:01:20,48.8264,58.1442,72.39,50,56,3.74,broken clouds
109,Cherskiy,RU,2022-07-22 23:01:21,68.75,161.3,48.96,53,14,4.18,few clouds
110,Constitucion,CL,2022-07-22 23:01:22,-35.3333,-72.4167,53.67,93,30,8.16,scattered clouds
111,Manoel Urbano,BR,2022-07-22 23:01:23,-8.8389,-69.2597,81.07,63,73,4.14,broken clouds
112,Severo-Kurilsk,RU,2022-07-22 23:01:23,50.6789,156.125,55.47,90,52,6.38,broken clouds
113,Yorkton,CA,2022-07-22 22:59:03,51.2167,-102.4677,71.44,64,75,3.44,broken clouds
114,Maceio,BR,2022-07-22 22:57:08,-9.6658,-35.7353,74.64,94,100,5.75,overcast clouds
115,Longyearbyen,SJ,2022-07-22 22:56:33,78.2186,15.6401,48.04,87,75,2.3,broken clouds
116,Saskylakh,RU,2022-07-22 23:01:25,71.9167,114.0833,53.08,59,92,7.65,overcast clouds
117,Moree,AU,2022-07-22 23:01:25,-29.4667,149.85,59.18,57,0,11.34,clear sky
118,Yaan,NG,2022-07-22 23:01:26,7.3833,8.5667,72.19,95,99,6.4,light rain
119,Ostrovnoy,RU,2022-07-22 23:01:26,68.0531,39.5131,51.78,89,98,16.82,overcast clouds
120,Bojnurd,IR,2022-07-22 23:01:27,37.4747,57.329,70.65,88,15,6.24,few clouds
121,Cap-Haitien,HT,2022-07-22 23:01:14,19.7578,-72.2042,82.2,78,80,4.07,broken clouds
122,Chokurdakh,RU,2022-07-22 23:01:29,70.6333,147.9167,52.86,49,99,13.67,overcast clouds
123,Kruisfontein,ZA,2022-07-22 23:01:30,-34.0033,24.7314,49.89,79,100,6.31,overcast clouds
124,Inta,RU,2022-07-22 23:01:31,66.0317,60.1659,41.0,89,78,8.01,broken clouds
